Age,Date,Feed,FI,Culling,Death,Live_Bird,Std_Body_Weight,ADG,ADG_actual,Total_Body_Weight,Body_Weight,FCR,FCR_actual,IP,IP_actual,Ayam_Dipelihara,persen_Live_Bird
30,19/01/2023,51200,2639,0,9,16531,1788,117.0,74.8551307644224,37122.905,1907.55,1.38,1.379202408863207,458,437.6652316331748,20488,80.68625536899648
31,20/01/2023,53250,2763,0,5,11918,1883,167.0,106.4475420751479,39327.896,2021.38,1.35,1.354000732711458,492,458.675649866087,20488,58.17063647012885
32,21/01/2023,55500,2952,0,9,11909,1978,102.0,106.3363737509447,40523.516,2083.79,1.37,1.369575137557165,492,451.1666701106148,20488,58.12670831706365
33,22/01/2023,57350,3108,0,5,9085,2074,143.0,141.119377595437,42308.295,2176.13,1.36,1.355526144459378,512,460.1221179164221,20488,44.34303006638032
34,23/01/2023,58200,3201,0,5,9080,2171,56.0,138.6529541331952,42804.94,2202.24,1.36,1.359656151836681,508,451.8314966039703,20488,44.31862553689965
35,24/01/2023,60000,3400,0,11,9069,2269,19.0,135.3136997306366,42950.59800000001,2210.99,1.4,1.396953774659901,483,427.8323000422349,20488,44.26493557204217
39,28/01/2023,62950,3726,0,6,9017,2658,2797.38,130.954066819654,46051.7,2376.98,1.37,1.366941936996897,508,420.688777946863,20488,44.01112846544319
40,29/01/2023,63300,3765,0,11,9006,2755,150.0,131.5006662225183,47371.8,2446.51,1.34,1.336238015021595,534,431.3755558404774,20488,43.95743850058571
3,30/01/2023,1200,67,0,25,17921,90,106.0,35.33333333333334,1899.626,106.0,0.63,0.6317032931745512,561,551.9760127920927,18209,98.41836454500522
6,02/02/2023,2950,165,0,25,17795,163,178.0,29.66666666666667,3167.51,178.0,0.93,0.9313309192394026,316,311.743710178373,18209,97.726399033445
10,06/02/2023,6100,343,0,27,17681,313,320.0,32.0,5657.92,320.0,1.08,1.078134720886828,290,287.7046962938555,18209,97.10033499917624
13,09/02/2023,9950,561,0,26,17609,469,453.0,34.84615384615385,7976.877,453.0,1.25,1.247355324646475,273,269.5835787036842,18209,96.70492613542754
17,13/02/2023,15950,903,0,27,17501,722,678.0,39.88235294117647,11865.678,678.0,1.34,1.344213116182657,289,286.0571075741328,18209,96.11181283980449
21,17/02/2023,23350,1331,0,26,17277,1018,980.0,46.66666666666666,16931.46,980.0,1.38,1.379089576445268,325,320.85582778384,18209,94.88165193036411
25,21/02/2023,31800,1822,0,31,17139,1349,1233.0,49.32,21132.387,1233.0,1.5,1.504799244874703,312,309.479004887693,18209,94.12378494151244
28,24/02/2023,38250,2209,0,37,15919,1615,1414.0,53.86525086823472,24009.466,1410.83,1.59,1.593121646270683,302,296.1701254827088,18209,87.42380141688176
29,25/02/2023,40350,2341,0,34,12230,1706,60.0,68.5257281416528,24304.02,1431.0,1.66,1.660219173618191,288,277.259178458823,18209,67.16458893953539
32,28/02/2023,46250,2826,0,30,12142,1986,1695.0,69.12393448361061,26857.69,1589.59,1.72,1.722039386112506,289,267.9810815824529,18209,66.6813114393981
4,29/09/2023,350,71,0,12,4944,109,122.0,30.5,603.168,122.0,0.58,0.5802695103188498,521,523.5324343466607,4966,99.5569875151027
9,04/10/2023,1300,264,0,10,4886,269,256.0,28.44444444444444,1250.816,256.0,1.04,1.039321530904626,268,269.0982441284495,4966,98.38904550946437
2,23/02/2023,50,25,2,0,1998,74,5.78,22.89,91.46844,45.78,0.55,0.5466366322635435,416,390.0240491216101,2132,93.71482176360225
3,24/02/2023,350,176,2,3,1993,90,36.22,27.33333333333333,163.426,82.0,2.14,2.141642088774124,128,119.3985142583274,2132,93.48030018761726
4,25/02/2023,350,176,0,2,1991,109,24.0,26.5,211.046,106.0,1.66,1.658406224235475,160,149.0808449558082,2132,93.38649155722328
5,26/02/2023,350,176,1,2,1988,134,24.0,26.0,258.44,130.0,1.35,1.354279523293608,191,179.5844625112918,2132,93.24577861163228
6,27/02/2023,450,226,0,1,1987,163,39.0,28.16666666666667,335.803,169.0,1.34,1.340071410916519,208,195.9031064191239,2132,93.19887429643528
7,28/02/2023,450,226,0,2,1985,193,22.0,27.28571428571428,379.135,191.0,1.19,1.186912313555857,227,213.4822033879217,2132,93.10506566604128
8,01/03/2023,450,226,0,2,1983,228,59.0,31.25,495.75,250.0,0.91,0.907715582450832,340,319.4067892707668,2132,93.01125703564728
9,02/03/2023,450,226,1,0,1982,269,16.0,29.55555555555556,527.212,266.0,0.85,0.853546580882074,344,323.2485990018272,2132,92.96435272045028
10,03/03/2023,650,327,0,4,1978,313,56.5,32.25,637.905,322.5,1.02,1.018960503523252,313,293.338207703344,2132,92.77673545966228
11,04/03/2023,650,327,0,3,1975,362,38.2,32.79090909090909,712.3824999999999,360.7,0.91,0.9124311728600858,357,333.8043288793757,2132,92.63602251407129
12,05/03/2023,800,403,0,5,1970,414,50.3,34.25,809.67,411.0,0.99,0.9880568626724467,343,319.6718593060056,2132,92.4015009380863
13,06/03/2023,800,403,0,4,1966,469,58.0,36.07692307692308,922.054,469.0,0.87,0.8676281432540828,406,382.3900216149682,2132,92.21388367729833
14,07/03/2023,1150,582,0,4,1962,528,87.45,39.74642857142857,1091.7549,556.45,1.05,1.0533499780949,371,348.3538499827698,2132,92.02626641651032
15,08/03/2023,1150,582,0,0,1962,589,51.05,40.50000000000001,1191.915,607.5,0.96,0.9648339017463492,413,388.2358114446531,2132,92.02626641651032
16,09/03/2023,1150,582,0,1,1961,654,64.5,42.0,1317.792,672.0,0.87,0.8726718632379009,473,444.0382997994437,2132,91.97936210131331
17,10/03/2023,1300,658,0,6,1955,722,43.0,42.05882352941177,1397.825,715.0,0.93,0.9300162752848176,443,414.6997115132441,2132,91.69793621013132
18,11/03/2023,1650,838,0,9,1946,792,89.6,44.7,1565.7516,804.6,1.05,1.053807002336769,413,388.5741088180112,2132,91.27579737335834
19,12/03/2023,1700,864,0,4,1942,865,80.4,46.57894736842105,1718.67,885.0,0.99,0.9891369489198042,456,428.5648027624921,2132,91.08818011257036
20,13/03/2023,2100,1070,0,6,1936,941,96.0,49.05,1899.216,981.0,1.11,1.105719412641848,429,401.2676841945134,2132,90.80675422138836
21,14/03/2023,2200,1122,0,3,1933,1018,46.0,48.90476190476191,1985.191,1027.0,1.11,1.108205709173576,427,399.4595640937104,2132,90.66604127579735
22,15/03/2023,2500,1278,0,7,1926,1098,93.0,50.90909090909091,2157.12,1120.0,1.16,1.158952677644266,421,396.4664435648456,2132,90.3377110694184
23,16/03/2023,2700,1383,0,13,1913,1180,57.0,51.17391304347826,2251.601,1177.0,1.2,1.199146740474889,409,382.6442137749137,2132,89.72795497185741
24,17/03/2023,2950,1514,0,13,1900,1264,56.0,51.375,2342.7,1233.0,1.26,1.259230802065992,387,363.3688466005539,2132,89.11819887429644
25,18/03/2023,3200,1647,0,21,1879,1349,132.0,54.6,2564.835,1365.0,1.25,1.247643610602631,411,384.9658536585366,2132,88.13320825515947
26,19/03/2023,3450,1781,0,13,1866,1436,100.0,56.34615384615385,2733.69,1465.0,1.26,1.262030442369106,416,391.3976111443279,2132,87.5234521575985
31,24/03/2023,3550,1836,0,0,1826,1892,1465.0,47.25806451612903,2675.09,1465.0,1.33,1.327058155052727,323,304.3251626008676,2132,85.64727954971858
8,13/09/2023,2100,214,0,35,9680,228,191.0,23.875,1848.88,191.0,1.14,1.135822768378694,203,207.7131866551625,9760,99.18032786885246
16,21/09/2023,6950,726,0,45,9355,654,560.0,35.0,5238.8,560.0,1.33,1.326639688478277,247,252.2379206212252,9760,95.85040983606558
19,13/04/2023,5400,1951,0,8,2578,790,818.0,153.7912702625455,7533.004,1425.63,0.72,0.7168454974934303,574,2062.390213986902,2670,96.55430711610488
20,14/04/2023,5900,2145,0,6,2572,865,-342.0,129.2471228615863,6648.472,1259.66,0.89,0.8874219519913749,257,1398.912595211042,2670,96.32958801498128
22,16/04/2023,7050,2594,0,8,2557,1023,940.0,139.1506381768407,7827.78,1487.32,0.9,0.9006384952055372,456,1480.683236863012,2670,95.76779026217228
24,18/04/2023,8350,3106,0,8,2539,1186,1124.0,135.8480372850204,8278.036,1578.27,1.01,1.008693366397537,441,1279.037959975773,2670,95.09363295880148
26,20/04/2023,9700,3640,0,12,2519,1353,1303.0,132.9351849024338,8706.457,1666.31,1.11,1.114115650028479,429,1129.884032693021,2670,94.34456928838952
31,25/04/2023,13350,5184,0,11,1997,1799,1649.0,149.4992973330964,9255.053,1793.61,1.44,1.442455272811512,347,776.5035808733705,2670,74.7940074906367
33,27/04/2023,14050,5538,0,13,1760,1993,1751.0,161.245867768595,9365.16,1822.72,1.5,1.500241319956093,329,708.596073090455,2670,65.91760299625467
37,01/05/2023,15950,6699,0,26,775,2386,1885.0,327.7027027027027,9396.875,1901.82,1.7,1.697372796807449,270,559.5276373531495,2670,29.02621722846442
6,31/08/2023,1150,136,0,8,8443,163,160.0,26.66666666666667,1350.88,160.0,0.85,0.8512969323700106,311,304.4229759482233,8701,97.03482358349616
12,06/09/2023,3550,421,0,25,8385,414,378.0,31.5,3169.53,378.0,1.12,1.120039879729802,278,271.035656821055,8701,96.36823353637512
13,07/09/2023,4100,488,200,0,8185,469,87.0,35.76923076923077,3806.025,465.0,1.08,1.077239377040351,318,311.5554553607651,8701,94.0696471669923
19,13/09/2023,8050,1001,0,25,7580,865,728.0,38.31578947368421,5518.24,728.0,1.46,1.458798457479196,234,228.6256533342305,8701,87.11642339960925
3,06/03/2023,2100,84,0,51,24839,90,88.0,29.33333333333333,2185.832,88.0,0.96,0.9607325723111384,303,304.9294674344895,24890,99.79509843310566
8,29/08/2023,800,174,0,45,4410,215,170.0,21.25,749.7,170.0,1.07,1.067093504068294,175,194.1085454364685,4512,97.73936170212764
14,04/09/2023,1850,421,0,20,4174,465,366.0,26.14285714285714,1527.684,366.0,1.21,1.2109834232734,179,199.8715742671255,4512,92.50886524822694
16,06/09/2023,2400,553,0,15,4145,586,481.0,30.0625,1993.745,481.0,1.2,1.203764774331723,208,230.1438063312648,4512,91.86613475177306
22,12/09/2023,4550,1078,0,9,4072,1023,865.0,39.31818181818182,3522.28,865.0,1.29,1.291776917224071,247,275.0694725583394,4512,90.24822695035462
29,19/09/2023,8650,2097,0,13,3996,1613,1419.0,48.93103448275862,5670.324000000001,1419.0,1.53,1.525486021610053,256,283.2365888394977,4512,88.56382978723404
4,03/04/2023,550,112,0,20,4891,109,120.0,30.0,586.92,120.0,0.94,0.937095345191849,313,317.2033015258099,4921,99.39036781142045
18,17/04/2023,4700,979,0,10,4735,719,760.0,42.22222222222222,3598.6,760.0,1.31,1.306063469126883,306,310.1247376056536,4921,96.22028043080677
2,16/03/2023,500,40,0,14,12480,74,13.0,32.5,811.2,65.0,0.62,0.6163708086785009,524,519.40734290361,12595,99.08693926161176
3,17/03/2023,750,60,0,13,12467,90,12.0,25.66666666666667,959.959,77.0,0.78,0.781283367310479,329,325.7156720038817,12595,98.98372369988093
